Size,Bubble sort,Merge sort,Shell sort,Quick Sort,
700,244154,5744,6925,6950,
700,243947,5758,7024,6381,
700,244154,5732,7270,6241,
700,243660,5748,7445,6193,
700,243660,5743,7223,7188,
700,244514,5748,7561,6518,
700,244545,5751,7245,6640,
700,244350,5729,7446,6833,
700,244572,5795,6789,7248,
700,244497,5739,6957,6765,
700,243165,5751,6989,7893,
700,243569,5743,7849,6894,
700,244440,5712,7512,6602,
700,244215,5754,7365,6632,
700,244374,5774,6928,6587,
700,244154,5735,6822,6431,
700,243474,5726,6992,6792,
700,244584,5755,7387,6527,
700,243110,5760,6998,6456,
700,244272,5742,7356,6335,
700,244350,5759,7161,6545,
700,243870,5736,6779,6756,
700,244640,5763,7299,6711,
700,244215,5753,7206,6476,
700,244497,5774,7229,6162,
700,244055,5755,7113,7129,
700,243219,5782,7384,6340,
700,242505,5752,7054,6638,
700,244622,5743,8187,6618,
700,243870,5752,7164,6998,
700,244055,5716,7127,6443,
700,244272,5742,7152,6338,
700,243522,5753,7153,7619,
700,244374,5760,7185,6184,
700,244215,5762,7119,7378,
700,244350,5749,7497,6603,
700,242939,5764,7363,7154,
700,244215,5751,7215,7040,
700,243272,5749,7359,6709,
700,242759,5766,7446,7000,
700,244397,5745,7177,6854,
700,244089,5750,7079,7084,
800,316360,6719,9731,9247,
800,319579,6736,9651,7808,
800,318859,6725,10636,9048,
800,319429,6709,9539,8054,
800,319275,6704,9612,8845,
800,318897,6739,9918,7262,
800,318697,6720,9724,6938,
800,318654,6744,9383,7012,
800,318970,6691,9610,8530,
800,318934,6714,9310,7383,
800,319480,6744,9371,7555,
800,318519,6719,10424,7406,
800,318424,6701,9823,8036,
800,319039,6738,9996,7348,
800,319165,6690,9753,8223,
800,319522,6717,9619,8750,
800,319410,6721,10523,7387,
800,319039,6721,9610,7406,
800,317770,6711,9656,8024,
800,319447,6721,9918,7677,
800,319390,6701,9184,7866,
800,319429,6725,10102,8867,
800,318780,6718,9781,8373,
800,319249,6724,10412,7903,
800,318565,6716,10063,8396,
800,319005,6714,9224,7135,
800,318610,6731,9853,7780,
800,319447,6705,9906,8134,
800,319429,6734,9278,8084,
800,319222,6748,9809,7533,
800,319410,6739,9880,7669,
800,318424,6727,9450,7506,
800,319222,6686,9619,7265,
800,318970,6702,10090,8685,
800,318115,6731,9805,7325,
800,319104,6699,9933,7967,
800,319495,6725,9982,7688,
800,319464,6717,10140,8078,
800,319347,6695,9573,7526,
800,319429,6709,9867,7514,
800,318934,6743,9544,7313,
800,318565,6720,9514,7312,
800,319005,6733,9801,7129,
800,316030,6733,10266,7548,
800,318654,6707,9872,7371,
800,318970,6719,10035,8619,
800,319135,6705,9658,8660,
800,318654,6687,9905,8218,
800,319275,6740,10238,7406,
800,318610,6699,10290,7535,
800,318820,6732,9330,7671,
800,319039,6715,9699,9110,
800,318970,6689,9634,7344,
800,319495,6709,9928,8140,
800,318169,6725,9761,7304,
800,319300,6688,9939,7827,
800,318115,6714,10142,8177,
800,319165,6713,10069,8907,
800,318654,6732,9774,7479,
800,319222,6731,10389,7072,
800,319104,6709,9636,8563,
800,316519,6702,9541,8032,
800,319072,6718,9223,8740,
800,317322,6735,10599,8325,
800,318739,6726,9941,8064,
800,319509,6739,9465,7340,
800,319165,6726,9640,7899,
800,319072,6724,9890,8628,
800,317520,6724,9747,7694,
800,318654,6730,9921,8266,
800,318897,6735,9928,8012,
800,319555,6708,9524,8310,
800,319249,6724,9550,7682,
800,319275,6702,9634,7485,
800,319347,6682,9751,7299,
800,319104,6710,10138,7381,
800,318325,6727,9205,7614,
800,319522,6736,9278,7424,
800,318424,6708,9379,9114,
800,319522,6719,9914,7615,
800,318897,6716,10128,8179,
800,319249,6697,9985,7163,
800,319522,6714,9420,7315,
800,318169,6721,9971,8886,
800,319600,6722,9717,7905,
800,319495,6671,10265,8425,
800,319522,6720,9890,7951,
800,318424,6701,9703,7735,
800,317830,6669,10210,7466,
800,317520,6715,9841,8350,
800,319585,6723,9561,7669,
800,318780,6722,9814,7382,
800,319564,6742,10069,8674,
800,319300,6691,9360,7977,
800,319410,6707,9423,8107,
800,318859,6687,10315,7108,
800,318780,6705,9993,8001,
800,319194,6714,10010,8350,
800,319464,6742,10084,7411,
800,318739,6715,9670,8060,
900,403847,7718,11637,9050,
900,402720,7691,11836,9167,
900,404250,7707,11887,9021,
900,403469,7685,12667,8816,
900,404340,7717,11904,10281,
900,403325,7745,11786,8639,
900,402659,7732,11817,8988,
900,403920,7677,11595,8892,
900,401994,7689,12444,8934,
900,404445,7689,12932,8290,
900,402897,7721,12444,8798,
900,401922,7716,12864,9416,
900,403422,7698,10967,10038,
900,404459,7699,11581,8572,
900,403884,7705,12341,8699,
900,403730,7694,11432,9333,
900,404085,7696,12093,9543,
900,402534,7690,11458,8383,
900,403770,7707,12982,8305,
900,404397,7736,10780,8220,
900,404054,7720,11956,8775,
900,404430,7727,12106,10581,
900,404297,7709,12157,8641,
900,403560,7727,12319,8513,
900,404414,7703,12512,8664,
900,403119,7717,11446,8164,
900,403730,7738,11696,8897,
900,401700,7713,12681,8827,
900,404172,7710,10854,8655,
900,404379,7682,11294,8919,
900,404225,7691,11140,8554,
900,404022,7704,11484,9577,
900,402597,7700,11121,9415,
900,404199,7713,11913,8416,
900,404360,7708,12202,9534,
900,403955,7730,11764,8482,
900,404319,7726,11668,10288,
900,403515,7724,12934,9708,
900,403730,7717,11687,9478,
900,403560,7719,11521,8779,
900,404225,7719,12481,8192,
900,403604,7692,11463,8479,
900,403884,7700,11681,10210,
900,404054,7703,11388,9264,
900,403989,7715,12117,9343,
900,403847,7714,11644,8883,
900,403560,7701,11374,9721,
900,404430,7697,11297,9586,
900,404274,7703,12297,9371,
900,404340,7723,10942,9591,
900,402597,7700,11577,9305,
900,404495,7702,11555,9927,
900,403275,7692,11580,8556,
900,404379,7721,12100,9287,
900,404319,7675,12876,9557,
900,403955,7707,12168,8844,
900,404144,7719,11579,9935,
900,404360,7743,11801,8589,
900,403604,7694,12114,9006,
900,404054,7681,11974,9091,
900,404340,7738,11956,8606,
900,404144,7709,12164,9130,
900,404022,7715,11320,8761,
900,404505,7721,11869,8599,
900,403325,7707,12640,9903,
900,403374,7682,11086,9481,
900,401849,7689,13527,8379,
900,404085,7707,12658,9308,
900,404340,7738,11924,9542,
900,401390,7723,11815,9300,
900,404054,7707,12525,8665,
900,403730,7706,12198,9267,
900,404172,7704,12126,9297,
900,404459,7719,11722,9296,
900,402135,7700,11985,8739,
900,404225,7677,12593,9240,
900,403770,7694,11948,9634,
900,403955,7721,11833,9377,
900,395370,7690,12800,8548,
900,402204,7722,11271,8821,
900,404172,7697,11433,9089,
900,404397,7694,11325,10448,
900,403325,7701,13381,10274,
900,403847,7702,11342,8189,
900,403374,7707,12290,9460,
900,403884,7717,11846,10695,
900,404054,7698,11003,8259,
900,404414,7712,11847,8054,
900,401922,7702,11772,9068,
900,403172,7695,11133,9115,
900,404340,7720,11410,8760,
900,404085,7697,11931,9342,
900,404319,7734,10710,8211,
900,403989,7707,12052,9748,
900,404360,7729,11325,8898,
900,403989,7707,11103,8761,
900,404054,7724,11959,10355,
900,404514,7706,12075,9214,
